.8	8.	0.066667
.8	88	0.066667
.8	89	0.066667
.8	82	0.133333
.8	80	0.200000
.8	81	0.200000
.8	86	0.133333
.8	87	0.066667
.8	85	0.066667
-y	yi	0.023810
-y	ym	0.023810
-y	yo	0.476190
-y	y.	0.071429
-y	ya	0.119048
-y	ye	0.166667
-y	yg	0.023810
-y	yu	0.095238
-a	aa	0.007059
-a	ac	0.028235
-a	ab	0.014118
-a	ae	0.002353
-a	ad	0.112941
-a	ag	0.047059
-a	af	0.016471
-a	ai	0.035294
-a	ah	0.002353
-a	ak	0.021176
-a	aj	0.004706
-a	am	0.035294
-a	al	0.080000
-a	an	0.152941
-a	aq	0.002353
-a	ap	0.044706
-a	as	0.063529
-a	ar	0.117647
-a	au	0.070588
-a	at	0.035294
-a	aw	0.004706
-a	av	0.032941
-a	ax	0.004706
-a	az	0.018824
-a	a-	0.025882
-a	a.	0.018824
tx	xj	0.010309
tx	xh	0.020619
tx	xi	0.051546
tx	xl	0.030928
tx	xm	0.020619
tx	xb	0.010309
tx	xc	0.041237
tx	xa	0.030928
tx	xg	0.010309
tx	xd	0.020619
tx	xe	0.010309
tx	xz	0.010309
tx	xx	0.061856
tx	xy	0.010309
tx	xr	0.010309
tx	xs	0.030928
tx	xp	0.030928
tx	xq	0.020619
tx	xw	0.041237
tx	xt	0.226804
tx	xu	0.020619
tx	x.	0.247423
tx	x0	0.010309
tx	x1	0.010309
tx	x6	0.010309
-b	bd	0.002985
-b	be	0.167164
-b	bf	0.002985
-b	bg	0.005970
-b	ba	0.191045
-b	bb	0.014925
-b	bc	0.005970
-b	bl	0.140299
-b	b.	0.011940
-b	bo	0.202985
-b	bh	0.005970
-b	bi	0.065672
-b	b2	0.002985
-b	bt	0.002985
-b	bu	0.104478
-b	br	0.059701
-b	by	0.011940
-m	me	0.146045
-m	mg	0.002028
-m	mn	0.002028
-m	ma	0.393509
-m	mc	0.004057
-m	mb	0.008114
-m	mm	0.012170
-m	ml	0.002028
-m	mo	0.221095
-m	m.	0.016227
-m	mi	0.079108
-m	mu	0.062880
-m	mt	0.002028
-m	mp	0.020284
-m	ms	0.010142
-m	my	0.012170
-m	mx	0.004057
-m	mz	0.002028
-l	le	0.115242
-l	la	0.189591
-l	l.	0.003717
-l	lo	0.141264
-l	l-	0.014870
-l	lj	0.003717
-l	li	0.468401
-l	lu	0.018587
-l	lr	0.003717
-l	ly	0.040892
-o	o.	0.009772
-o	o-	0.022801
-o	oo	0.003257
-o	on	0.576547
-o	om	0.006515
-o	ol	0.016287
-o	ok	0.026059
-o	oi	0.006515
-o	of	0.114007
-o	od	0.006515
-o	oc	0.006515
-o	ob	0.032573
-o	oa	0.009772
-o	oy	0.003257
-o	ox	0.003257
-o	ow	0.003257
-o	ov	0.006515
-o	ou	0.022801
-o	ot	0.003257
-o	os	0.013029
-o	or	0.039088
-o	op	0.068404
9i	i3	0.100000
9i	in	0.200000
9i	it	0.100000
9i	im	0.100000
9i	i.	0.100000
9i	ia	0.100000
9i	ic	0.100000
9i	if	0.200000
9h	ht	1.000000
9k	k9	0.250000
9k	k.	0.250000
9k	ku	0.250000
9k	kf	0.250000
-n	ni	0.052632
-n	nl	0.006192
-n	n-	0.034056
-n	n.	0.012384
-n	no	0.120743
-n	na	0.120743
-n	nb	0.003096
-n	nd	0.003096
-n	ne	0.517028
-n	ng	0.009288
-n	ny	0.012384
-n	n0	0.003096
-n	np	0.037152
-n	nr	0.006192
-n	ns	0.009288
-n	nt	0.009288
-n	nu	0.040248
-n	nm	0.003096
9m	mi	0.250000
9m	ma	0.250000
9m	mp	0.250000
9m	my	0.250000
9l	le	0.066667
9l	la	0.133333
9l	lo	0.133333
9l	li	0.533333
9l	lw	0.066667
9l	lr	0.066667
9o	o.	0.500000
9o	ol	0.500000
9n	nh	0.142857
9n	na	0.142857
9n	nl	0.142857
9n	ne	0.571429
9a	ac	0.166667
9a	ab	0.083333
9a	ae	0.083333
9a	ad	0.083333
9a	am	0.083333
9a	ao	0.083333
9a	ap	0.083333
9a	as	0.083333
9a	ar	0.083333
9a	at	0.083333
9a	a6	0.083333
-i	iy	0.003257
-i	ix	0.003257
-i	iz	0.003257
-i	iq	0.003257
-i	ip	0.061889
-i	is	0.039088
-i	ir	0.013029
-i	it	0.052117
-i	iv	0.003257
-i	ih	0.003257
-i	ik	0.006515
-i	ij	0.003257
-i	im	0.104235
-i	il	0.019544
-i	in	0.589577
-i	ic	0.009772
-i	ib	0.006515
-i	id	0.045603
-i	ig	0.006515
-i	if	0.003257
-i	i3	0.003257
-i	i-	0.003257
-i	i.	0.013029
9c	ci	0.041667
9c	ch	0.041667
9c	co	0.166667
9c	cn	0.083333
9c	cm	0.041667
9c	cl	0.083333
9c	cc	0.083333
9c	ca	0.208333
9c	ce	0.083333
9c	c1	0.041667
9c	cu	0.041667
9c	c.	0.083333
9b	ba	0.133333
9b	bc	0.066667
9b	b.	0.133333
9b	bo	0.066667
9b	bi	0.266667
9b	bt	0.200000
9b	b9	0.133333
9e	ee	0.250000
9e	er	0.750000
9d	dn	0.041667
9d	do	0.083333
9d	dm	0.083333
9d	dh	0.041667
9d	di	0.208333
9d	de	0.458333
9d	da	0.041667
9d	d2	0.041667
9g	gr	0.058824
9g	gb	0.058824
9g	ga	0.470588
9g	go	0.117647
9g	g.	0.235294
9g	gl	0.058824
-h	h4	0.004785
-h	hy	0.009569
-h	hr	0.019139
-h	hq	0.009569
-h	ht	0.014354
-h	hu	0.028708
-h	hk	0.004785
-h	hh	0.004785
-h	hi	0.076555
-h	h.	0.023923
-h	ho	0.430622
-h	hl	0.004785
-h	hb	0.004785
-h	hc	0.004785
-h	ha	0.143541
-h	hd	0.057416
-h	he	0.157895
9y	yi	0.125000
9y	yo	0.250000
9y	ya	0.125000
9y	ye	0.125000
9y	yx	0.125000
9y	ys	0.250000
9x	xh	0.125000
9x	x.	0.125000
9x	xb	0.125000
9x	xd	0.125000
9x	xy	0.125000
9x	xs	0.375000
9z	zu	0.333333
9z	z.	0.333333
9z	zw	0.333333
-k	kb	0.007874
-k	ka	0.220472
-k	kn	0.023622
-k	ke	0.086614
-k	kk	0.007874
-k	ki	0.149606
-k	kh	0.031496
-k	ko	0.244094
-k	k.	0.023622
-k	kl	0.047244
-k	kr	0.047244
-k	kp	0.007874
-k	ku	0.094488
-k	kt	0.007874
9q	q9	0.200000
9q	q.	0.800000
9p	pr	0.166667
9p	px	0.083333
9p	pc	0.083333
9p	pa	0.083333
9p	pf	0.083333
9p	pe	0.083333
9p	pk	0.166667
9p	po	0.250000
9s	st	0.071429
9s	si	0.071429
9s	sh	0.214286
9s	so	0.142857
9s	s.	0.071429
9s	sc	0.071429
9s	sa	0.214286
9s	se	0.142857
tq	qu	0.576923
tq	qa	0.038462
tq	qd	0.038462
tq	qi	0.038462
tq	qn	0.076923
tq	q-	0.038462
tq	q.	0.192308
9u	u.	0.500000
9u	u8	0.250000
9u	up	0.250000
9t	tv	0.083333
9t	tu	0.083333
9t	tr	0.083333
9t	ts	0.083333
9t	t.	0.083333
9t	to	0.500000
9t	ti	0.083333
9w	we	0.400000
9w	wa	0.100000
9w	w.	0.100000
9w	wi	0.100000
9w	ws	0.100000
9w	wx	0.200000
9v	vi	0.400000
9v	vc	0.200000
9v	vd	0.200000
9v	vg	0.200000
tn	nh	0.005671
tn	ni	0.062382
tn	nl	0.011342
tn	nn	0.003781
tn	no	0.083176
tn	na	0.092628
tn	nb	0.005671
tn	nc	0.009452
tn	nd	0.003781
tn	ne	0.510397
tn	nf	0.003781
tn	ng	0.013233
tn	nx	0.001890
tn	ny	0.011342
tn	nz	0.001890
tn	np	0.011342
tn	nr	0.003781
tn	ns	0.013233
tn	nt	0.024575
tn	nu	0.020794
tn	nv	0.001890
tn	nw	0.001890
tn	n-	0.003781
tn	n.	0.051040
tn	n$	0.043478
tn	n2	0.001890
tn	n3	0.001890
-t	tm	0.003766
-t	ty	0.003766
-t	tv	0.067797
-t	tw	0.005650
-t	tt	0.005650
-t	tu	0.097928
-t	tr	0.203390
-t	ts	0.013183
-t	tp	0.003766
-t	t.	0.009416
-t	to	0.180791
-t	tl	0.005650
-t	t-	0.001883
-t	tk	0.003766
-t	th	0.080979
-t	ti	0.062147
-t	td	0.001883
-t	te	0.152542
-t	tb	0.001883
-t	tc	0.005650
-t	ta	0.088512
m-	-e	0.033520
m-	-d	0.055866
m-	-g	0.016760
m-	-f	0.044693
m-	-a	0.078212
m-	-c	0.083799
m-	-b	0.067039
m-	-m	0.067039
m-	-l	0.033520
m-	-o	0.039106
m-	-n	0.039106
m-	-i	0.050279
m-	-h	0.044693
m-	-k	0.011173
m-	-u	0.022346
m-	-t	0.061453
m-	-w	0.022346
m-	-v	0.011173
m-	-p	0.050279
m-	-s	0.094972
m-	-r	0.033520
m-	-x	0.022346
m-	-1	0.005587
m-	-3	0.005587
m-	-2	0.005587
m.	.h	0.009280
m.	.i	0.013172
m.	.j	0.002844
m.	.k	0.003293
m.	.l	0.003143
m.	.m	0.058824
m.	.n	0.032031
m.	.o	0.016165
m.	.a	0.105074
m.	.b	0.198174
m.	.c	0.325700
m.	.d	0.017961
m.	.e	0.014519
m.	.f	0.003592
m.	.g	0.008532
m.	.p	0.033378
m.	.q	0.000748
m.	.r	0.023350
m.	.s	0.015417
m.	.t	0.076635
m.	.u	0.019608
m.	.v	0.017812
m.	.w	0.000748
-w	wg	0.005025
-w	we	0.376884
-w	wd	0.015075
-w	wa	0.145729
-w	wo	0.236181
-w	w.	0.025126
-w	wm	0.005025
-w	wl	0.005025
-w	wi	0.100503
-w	wh	0.030151
-w	wu	0.020101
-w	ws	0.010050
-w	wr	0.010050
-w	wp	0.015075
m5	59	0.111111
m5	5z	0.111111
m5	55	0.111111
m5	54	0.111111
m5	51	0.111111
m5	50	0.111111
m5	5.	0.222222
m5	5b	0.111111
m4	4n	0.017857
m4	45	0.017857
m4	4y	0.035714
m4	46	0.017857
m4	4t	0.017857
m4	4u	0.053571
m4	4r	0.017857
m4	4s	0.053571
m4	41	0.017857
m4	4.	0.571429
m4	4m	0.053571
m4	4i	0.017857
m4	4b	0.035714
m4	4c	0.017857
m4	4a	0.053571
m7	7b	0.153846
m7	7a	0.076923
m7	7.	0.230769
m7	77	0.307692
m7	76	0.076923
m7	73	0.076923
m7	7s	0.076923
-v	va	0.104000
-v	vd	0.008000
-v	ve	0.200000
-v	vf	0.008000
-v	vi	0.408000
-v	vl	0.008000
-v	v-	0.016000
-v	v.	0.024000
-v	vo	0.184000
-v	vp	0.016000
-v	vs	0.008000
-v	v4	0.008000
-v	vt	0.008000
m1	11	0.125000
m1	10	0.062500
m1	13	0.093750
m1	12	0.031250
m1	15	0.031250
m1	14	0.031250
m1	17	0.031250
m1	16	0.218750
m1	19	0.031250
m1	18	0.062500
m1	1k	0.031250
m1	1m	0.031250
m1	1.	0.218750
m0	0b	0.333333
m0	0d	0.333333
m0	0u	0.333333
m3	3.	0.240000
m3	3s	0.080000
m3	3r	0.040000
m3	3q	0.040000
m3	3p	0.040000
m3	36	0.200000
m3	3n	0.080000
m3	3l	0.040000
m3	3c	0.040000
m3	31	0.040000
m3	3a	0.040000
m3	3g	0.040000
m3	3f	0.040000
m3	3d	0.040000
m2	24	0.268293
m2	2u	0.073171
m2	2v	0.024390
m2	2w	0.024390
m2	20	0.073171
m2	21	0.024390
m2	25	0.048780
m2	2x	0.048780
m2	2s	0.048780
m2	28	0.024390
m2	2e	0.024390
m2	2a	0.024390
m2	2-	0.024390
m2	2n	0.024390
m2	2h	0.024390
m2	2.	0.195122
m2	2j	0.024390
-q	qr	0.133333
-q	qu	0.533333
-q	qm	0.066667
-q	qa	0.066667
-q	q-	0.133333
-q	qo	0.066667
m9	99	0.250000
m9	98	0.083333
m9	90	0.083333
m9	9.	0.583333
m8	88	0.400000
m8	8.	0.500000
m8	80	0.100000
tk	kc	0.005917
tk	ka	0.218935
tk	kr	0.023669
tk	kg	0.011834
tk	ke	0.106509
tk	k$	0.071006
tk	kj	0.005917
tk	ki	0.183432
tk	kh	0.023669
tk	ko	0.071006
tk	k.	0.088757
tk	km	0.017751
tk	kn	0.017751
tk	ks	0.017751
tk	k2	0.005917
tk	k1	0.005917
tk	k-	0.011834
tk	ku	0.059172
tk	kd	0.011834
tk	ky	0.017751
tk	kl	0.023669
9-	-4	1.000000
-s	s.	0.014225
-s	sz	0.002845
-s	sy	0.034139
-s	ss	0.004267
-s	sr	0.001422
-s	sq	0.002845
-s	sp	0.061166
-s	sw	0.008535
-s	sv	0.002845
-s	su	0.083926
-s	st	0.156472
-s	sk	0.011380
-s	si	0.072546
-s	sh	0.079659
-s	so	0.081081
-s	sn	0.009957
-s	sm	0.009957
-s	sl	0.011380
-s	sc	0.044097
-s	sb	0.001422
-s	sa	0.065434
-s	sf	0.001422
-s	se	0.233286
-s	sd	0.005690
9.	.9	0.010239
9.	.1	0.054608
9.	.2	0.044369
9.	.3	0.010239
9.	.5	0.003413
9.	.6	0.003413
9.	.7	0.003413
9.	.i	0.040956
9.	.j	0.006826
9.	.m	0.003413
9.	.n	0.051195
9.	.o	0.017065
9.	.b	0.010239
9.	.c	0.696246
9.	.d	0.003413
9.	.e	0.003413
9.	.f	0.006826
9.	.r	0.010239
9.	.s	0.003413
9.	.t	0.006826
9.	.u	0.006826
9.	.v	0.003413
-r	rt	0.004310
-r	ru	0.090517
-r	rw	0.004310
-r	rr	0.004310
-r	ry	0.012931
-r	rd	0.008621
-r	re	0.508621
-r	rg	0.004310
-r	ra	0.168103
-r	r.	0.021552
-r	ro	0.120690
-r	rh	0.004310
-r	ri	0.047414
99	9i	0.009756
99	9j	0.009756
99	9m	0.009756
99	9l	0.024390
99	9n	0.004878
99	9a	0.009756
99	9c	0.048780
99	9b	0.034146
99	9e	0.004878
99	9d	0.048780
99	9g	0.009756
99	9f	0.009756
99	9x	0.014634
99	9z	0.004878
99	9q	0.004878
99	9p	0.019512
